Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
18f.us,,Federal Government,,accepted term,"18F, General Services Administration -- Note added 11/10/14 19:10",https://midas.18f.us/,11/10/14 19:10
3riverscfc.org,Combined Federal Campaign,Federal Government,"Ohio, Pennsylvania, West Virginia",accepted term,3 Rivers/Pennsylvania West Combined Federal Campaign -- Note added 6/6/13 18:08,http://3riverscfc.org/,6/6/13 18:08
aal.army,Department of the Army,Federal Government,,accepted term,"The Army Applications Laboratory was established in 2018, along with the stand-up of the Army Futures Command, to act as a concierge service across the Army’s Future Force Modernization Enterprise and the broader commercial marketplace of ideas. Based on the 8th floor of the Capital Factory in Austin, AAL’s mission is to align innovative solutions and technologies with Army problems, resources and programs to rapidly discover, validate and transition technology applications in support of Army modernization. - From https://armyfuturescommand.com/aal/. aal.army links to Army Futures Command (armyfuturescommand.com) -- 8/26/2019 DPM",https://aal.army,8/26/19 0:00
academyadmissions.com,Department of Defense (DOD),Federal Government,,accepted term,Air Force Academy Admissions -- Note added 3/24/14 16:11,https://www.academyadmissions.com/,3/24/14 16:11
adlnet.org,Department of Defense (DOD),Federal Government,,accepted term,"Advanced Distributed Learning, an official website of the U.S. Government sponsored by the Office of the Under Secretary of Defense for Personnel and Readiness (OUSD P&R) -- Note added 11/13/13 14:12",http://adlnet.org/,11/13/13 14:11
afacademy.af.edu,Department of Defense (DOD),Federal Government,,accepted term,"United States Air Force Academy email domain. -- Note added 09/01/21 16:57",https://usafa.edu,09/01/21 16:57
afneurope.net,Department of Defense (DOD),Federal Government,,accepted term,American Forces Network Europe. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:17,http://www.afneurope.net/,5/8/15 14:16
afnpacific.net,Department of Defense (DOD),Federal Government,,accepted term,American Forces Network Pacific. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:18,http://afnpacific.net/,5/8/15 14:17
afpmb.org,,Federal Government,,accepted term,Armed Forces Pest Management Board is a Directorate in the Office of the Deputy Under Secretary of Defense for Installations and Environment (DUSD(I&E)). -- Note added 6/14/13 18:13,#N/A,6/6/13 18:08
afreserve.com,,Federal Government,,accepted term,US Air Force Reserve recruiting site -- Note added 6/6/13 18:08,https://afreserve.com/,6/6/13 18:08
afthunderbirds.com,,Federal Government,,accepted term,Air Force Thunderbirds -- Note added 9/12/14 11:40,http://afthunderbirds.com/,9/12/14 11:40
ag.unr.edu/gbem,,Federal Government,,accepted term,"Great Basin Ecology Laboratory (GBEL), the Nevada Forestry Sciences Laboratory is part of the USDA Forest Service, Rocky Mountain Research Stationand is located on the University of Nevada, Reno. -- Note added 9/15/15 16:57",#N/A,6/6/13 18:08
agfirst.com,,Federal Government,,accepted term,"AgFirst Farm Credit Bank is part of the national Farm Credit System, the largest agricultural lending organization in the United States -- Note added 7/19/13 13:35",http://agfirst.com/index.asp,6/6/13 18:08
agribank.com,,Federal Government,,accepted term,"Under the Farm Credit System's cooperative structure, AgriBank is owned by 17 affiliated Farm Credit Associations. The AgriBank District covers America's Midwest, a fifteen state area from Wyoming to Ohio and Minnesota to Arkansas. -- Note added 6/17/13 15:03",#N/A,6/6/13 18:08
airdefenseartillery.com,,Federal Government,,accepted term,"Air Defense Artillery, a magazine of the Armed Forces as listed at http://www.defense.gov/pubs/magazines.html.  -- Note added 11/18/13 14:34",http://airdefenseartillery.com/,6/6/13 18:08
airforce.com,,Federal Government,,accepted term,US Air Force recruiting site -- Note added 6/6/13 18:08,https://www.airforce.com/,6/6/13 18:08
airspacemag.com,,Federal Government,,accepted term,Smithsonian Air & Space Magazine -- Note added 8/25/14 13:00,http://www.airspacemag.com/?no-ist,8/25/14 13:00
ajb.org,,Federal Government,,accepted term,"America's Job Bank, a¬†CareerOneStop site sponsored by the U. S. Department of Labor,¬†Employment and Training Administration. -- Note added 6/14/13 18:21",#N/A,6/6/13 18:08
alaskacfc.org,Combined Federal Campaign,Federal Government,Alaska,accepted term,Alaska Combined Federal Campaign -- Note added 6/7/13 12:14,http://www.alaskacfc.org/_root/,6/6/13 18:08
alhurra.com,,Federal Government,,accepted term,"Alhurra Television, Middle East Broadcasting Networks, Inc. (as listed at http://www.bbg.gov/broadcasters/mbn/).  -- Note added 11/18/13 14:45",http://www.alhurra.com/,7/31/13 15:03
americanpresidents.org,#N/A,Federal Government,,candidate term,American Presidents: Life Portraits (C-SPAN) -- Note added 6/14/13 18:23,#N/A,6/6/13 18:08
americorpsconnect.org,#N/A,Federal Government,,accepted term,"AmeriCorps Connect, Corporation for National and Community Service -- Note added 6/6/13 18:08",#N/A,6/6/13 18:08
amtrak.com,,Federal Government,,accepted term,"Amtrak, the National Railroad Passenger Corporation -- Note added 11/18/13 14:58",http://www.amtrak.com/home,6/6/13 18:08
amver.com,,Federal Government,,accepted term,"Automated Mutual Assistance Vessel Rescue (AMVER) System, sponsored by the United States Coast Guard, is a computer-based voluntary global ship reporting system used worldwide by search and rescue authorities to arrange for assistance to persons in distress at sea. -- Note added 1/23/15 15:04",http://www.amver.com/,1/23/15 15:03
annualcreditreport.com,,Federal Government,,accepted term,AnnualCreditReport.com is the official site to help consumers to obtain their free credit report. -- Note added 6/6/13 18:08,https://www.annualcreditreport.com/index.action,6/6/13 18:08
armedforcessports.com,,Federal Government,,accepted term,"Armed Forces Sports, Department of Defense -- Note added 12/5/14 20:10",http://www.armedforcessports.com/,12/5/14 20:10
armyfuturescommand.com,Department of the Army,Federal Government,,accepted term,Responsible for leading a team of Soldiers and civilians to streamline the Army’s modernization enterprise under a single command. The command enhances efficiency and effectiveness in delivering the technology necessary to maintain the Army’s competitive advantage and win wars. - From https://armyfuturescommand.com/leadership/. See also https://www.army.mil/futures.,https://armyfuturescommand.com/,8/26/19 0:00
askjan.org,,Federal Government,,accepted term,"Job Accommodation Network, a service of U.S. Department of Labor's Office of Disability Employment Policy. -- Note added 9/24/13 12:49",http://askjan.org/,9/24/13 12:48
