Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
cspdc.org,,Regional,Virginia,accepted term,"The Central Shenandoah Planning District Commission (CSPDC) represents and serves the local governments of Augusta, Bath, Highland, Rockbridge, and Rockingham counties and the cities of Buena Vista, Harrisonburg, Lexington, Staunton and Waynesboro as well as the 11 towns within the Central Shenandoah region.  -- Note added 6/6/14 20:14",http://cspdc.org/,6/6/13 18:08
metroplan.org,,Regional,Arkansas,candidate term,"Metroplan, the council of governments and Metropolitan Planning Organization for the central Arkansas region -- Note added 7/17/13 18:52",#N/A,6/6/13 18:08
swcrpc.org,,Regional,Vermont,accepted term,Southeern Windsor County Regional Planning Commission -- Note added 8/15/14 14:29,http://swcrpc.org/,6/6/13 18:08
tricountyrpc.org,,Regional,Illinois,accepted term,Tri-County Regional Planning Commission -- Note added 7/3/14 17:51,http://www.tricountyrpc.org/,6/6/13 18:09
ardc.org,,Regional,Minnesota,accepted term,"Arrowhead Regional Development Commission, MN -- Note added 3/11/15 15:19",http://www.ardc.org/,6/6/13 18:08
berkshireplanning.org,,Regional,Massachusetts,accepted term,Berkshire Regional Planning Commission -- Note added 8/26/15 15:37,http://berkshireplanning.org/,6/6/13 18:08
mmrdc.org,,Regional,Minnesota,accepted term,"Mid-Minnesota Development Commission. Per their website, MMDC 'provide(s) technical assistance to government, businesses and local organizations; administer state and federal programs, and coordinate multi-jurisdictional activities to maintain or enhance the quality of life in the Cities in Kandiyohi, McLeod, Meeker, and Renville Counties.' -- Note added 4/26/15 5:40",http://www.mmrdc.org/,6/6/13 18:08
ccrpa.org,,Regional,Connecticut,accepted term,Central Connecticut Regional Planning Agency -- Note added 12/15/14 6:18,http://ccrpa.org/,6/6/13 18:08
mppdc.com,,Regional,Virginia,accepted term,"Website for Virginia's Middle Peninsula Planning District Commission, which is comprised of the 6 counties - Essex, Gloucester, King and Queen, King William, Mathews, and Middlesex - and 3 towns - Tappahannock, Urbanna, and West Point - of the Middle Peninsula. -- Note added 6/27/14 13:56",http://mppdc.com/,6/6/13 18:08
cdrpc.org,,Regional,New York,accepted term,Capital District Regional Planning Commission (NY) -- Note added 6/17/15 17:05,http://cdrpc.org/,6/6/13 18:08
gflrpc.org,,Regional,New York,accepted term,Genesee and Finger Lakes Regional Planning Council -- Note added 7/1/15 12:18,http://gflrpc.org/,6/6/13 18:08
