Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
174.132.145.94/~hope,,Local Government,North Carolina,accepted term,"Town of Hope Mills, NC -- Note added 12/4/13 19:14",http://townofhopemills.com/,6/6/13 18:09
360eldorado.com/Government,,Local Government,Kansas,accepted term,"City of El Dorado, KS -- Note added 11/19/13 12:57",http://www.360eldorado.com/Government/CityofElDorado.html,11/19/13 12:54
a2gov.org,,Local Government,Michigan,accepted term,"City of Ann Arbor, MI -- Note added 8/31/16 16:38",http://www.a2gov.org/,8/31/16 16:33
aatwp.org,,Local Government,Michigan,accepted term,"Ann Arbor Charter Township, MI -- Note added 9/2/15 19:54",http://aatwp.org/,6/6/13 18:08
aberdeen-md.org,,Local Government,Maryland,accepted term,"City of Aberdeen, MD -- Note added 3/20/14 17:17",http://www.aberdeen-md.org/,6/6/13 18:08
aberdeen.sd.us,,Local Government,South Dakota,accepted term,"City of Aberdeen, SD -- Note added 11/18/13 14:17",http://aberdeen.sd.us/,6/6/13 18:09
aberdeenms.us,,Local Government,Mississippi,accepted term,"City of Aberdeen, MS -- Note added 7/8/14 12:52",http://aberdeenms.us/,6/6/13 18:08
aberdeennj.org,,Local Government,New Jersey,accepted term,"Township of Aberdeen, NJ -- Note added 6/27/14 13:03",http://www.aberdeennj.org/,6/6/13 18:08
aberdeenwa.gov,,Local Government,Washington,accepted term,"City of Aberdeen, WA -- Note added 9/12/14 5:24",http://aberdeenwa.gov/,6/6/13 18:08
abilenecityhall.com,,Local Government,Kansas,accepted term,"City of Abilene, KS -- Note added 6/6/13 18:08",http://abilenecityhall.com/,6/6/13 18:08
abilenetx.com,,Local Government,Texas,accepted term,"City of Abilene, TX -- Note added 3/3/15 6:31",http://abilenetx.com/,6/6/13 18:08
abington.org,,Local Government,Pennsylvania,accepted term,"Township of Abington, PA -- Note added 6/27/14 16:12",http://abington.org/,6/6/13 18:08
accessduarte.com,,Local Government,California,accepted term,"City of Duarte, CA -- Note added 2/27/15 18:10",http://accessduarte.com/,6/6/13 18:08
accessfayetteville.org,,Local Government,Arkansas,accepted term,"City of Fayetteville, AR -- Note added 7/17/13 16:00",http://accessfayetteville.org/,6/6/13 18:08
