Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
accesskent.com,,Local Government,Michigan,accepted term,"accesskent, mi -- Note added 9/2/15 19:54",https://www.accesskent.com/,6/6/13 18:08
accessportsmouthva.com,,Local Government,Virginia,accepted term,"City of Portsmouth, VA Economic Development -- Note added 9/5/2020 18:10",https://www.accessportsmouthva.com/,9/5/2020 18:10																																															 
actonmaine.org,,Local Government,Maine,accepted term,"acton, maine -- Note added 8/27/15 17:55",http://actonmaine.org/,6/6/13 18:08
acworth.org,,Local Government,Georgia,accepted term,"Acworth, GA -- Note added 8/25/15 14:03",http://cityofacworth.org/,6/6/13 18:08
adamstwp.org,,Local Government,Pennsylvania,accepted term,"Adams Township, PA -- Note added 6/30/14 13:50",http://adamstwp.org/,6/6/13 18:08
adaok.com,,Local Government,Oklahoma,accepted term,"addock, ok -- Note added 8/28/15 16:26",http://adaok.com/,6/6/13 18:08
addisla.org,,Local Government,Louisiana,accepted term,"Town of Addis, LA -- Note added 8/21/15 14:16",http://addisla.org/,6/6/13 18:08
addisonadvantage.org,,Local Government,Illinois,accepted term,"Village of Addison, IL -- Note added 7/1/14 18:53",http://addisonadvantage.org/,6/6/13 18:08
addisonwi.org,,Local Government,Wisconsin,accepted term,"Town of Addison, WI -- Note added 7/25/14 5:44",http://addisonwi.org/,6/6/13 18:08
adeliowa.org,,Local Government,Iowa,accepted term,"City of Adel, IA -- Note added 7/19/13 13:11",http://adeliowa.org/default.page,6/6/13 18:08
adellwi.govoffice2.com,,Local Government,Wisconsin,accepted term,"Village of Adell, WI -- Note added 1/13/14 19:14",http://www.adellwi.govoffice2.com/,6/6/13 18:09
afcity.org,,Local Government,Utah,accepted term,"American Fork City, UT -- Note added 7/19/13 18:40",http://afcity.org/,6/6/13 18:08
aftoniowa.com,,Local Government,Iowa,accepted term,"City of Afton, IA -- Note added 7/21/15 12:31",http://www.aftoniowa.com/,6/6/13 18:08
ahnj.com,,Local Government,New Jersey,accepted term,"Borough of Atlantic Highlands, NJ -- Note added 6/30/14 11:38",http://ahnj.com/ahnj/,6/6/13 18:08
airmont.org,,Local Government,New York,accepted term,"Village of Airmont, NY -- Note added 9/26/14 18:33",http://www.airmont.org/,6/6/13 18:08
ajcity.net,,Local Government,Arizona,accepted term,"Apache Junction, AZ -- Note added 11/18/13 14:35",http://www.ajcity.net/,6/6/13 18:08
akron-pa.com,,Local Government,Pennsylvania,accepted term,"Borough of Akron, PA -- Note added 6/30/14 15:42",http://akron-pa.com/,6/6/13 18:08
akronia.org,,Local Government,Iowa,accepted term,"City of Akron, IA -- Note added 6/6/13 18:09",http://akronia.org/,6/6/13 18:09
alamedahsg.org,,Local Government,California,accepted term,"Housing Authority of the City of Alameda, CA -- Note added 6/12/13 18:44",http://alamedahsg.org/,6/6/13 18:08
alamotexas.org,,Local Government,Texas,accepted term,"City of Alamo, TX -- Note added 3/3/15 6:33",http://www.alamotexas.org/,6/6/13 18:08
alamotownship.org,,Local Government,Michigan,accepted term,"alamo township, mi -- Note added 9/2/15 19:55",http://www.alamotownship.org/,6/6/13 18:08
albanyca.org,,Local Government,California,accepted term,"Official city of Albany, CA website -- Note added 3/2/15 20:59",http://albanyca.org/,6/6/13 18:08
albanymo.net,,Local Government,Missouri,accepted term,"City of Albany, MO -- Note added 9/2/15 14:11",http://www.albanymo.net/,6/6/13 18:08
albanynh.org,,Local Government,New Hampshire,accepted term,"albany, nh -- Note added 8/28/15 18:34",http://www.albanynh.org/,6/6/13 18:08
albanyny.org,,Local Government,New York,accepted term,"City of Albany, NY -- Note added 7/24/13 18:57",http://www.albanyny.org/Home.aspx,6/6/13 18:08
albanytownship.com,,Local Government,Minnesota,accepted term,"Albany Township, MN -- Note added 7/19/13 13:37",http://albanytownship.com/Home.php,6/6/13 18:08
albionme.com,,Local Government,Maine,accepted term,"Town of Albion, ME -- Note added 7/18/14 11:27",http://www.albionme.com/,6/6/13 18:08
alburtis.org,,Local Government,Pennsylvania,accepted term,"Borough of Alburtis, PA -- Note added 6/30/14 15:44",http://alburtis.org/,6/6/13 18:08
aleutianseast.org,,Local Government,Alaska,accepted term,"Aleutians East Borough, AK -- Note added 6/7/13 12:38",http://www.aleutianseast.org/,6/6/13 18:08
alexandercityonline.com,,Local Government,Alabama,accepted term,"Alexander City, AL -- Note added 6/12/13 17:14",http://www.alexandercityonline.com/,6/6/13 18:08
alexandria-nj.us,,Local Government,New Jersey,accepted term,"Alexandria Township, NJ  -- Note added 6/30/14 11:40",http://alexandria-nj.us/,6/6/13 18:08
alexandrianh.com,,Local Government,New Hampshire,accepted term,"alexandria, nh -- Note added 8/28/15 18:35",http://alexandrianh.com/,6/6/13 18:08
alexandriatownship.org,,Local Government,Minnesota,accepted term,"Alexandria Township, MN -- Note added 3/11/15 15:17",http://www.alexandriatownship.org/,6/6/13 18:08
alfredme.us,,Local Government,Maine,accepted term,"alfred, me -- Note added 8/27/15 17:56",http://www.alfredme.us/,6/6/13 18:08
alfredny.org,,Local Government,New York,accepted term,"Village of Alfred, NY -- Note added 6/8/15 12:04",http://alfredny.org/,6/6/13 18:08
algomacity.org,,Local Government,Wisconsin,accepted term,"City of Algoma, WI -- Note added 7/25/14 5:05",http://www.algomacity.org/,6/6/13 18:08
algonquin.org,,Local Government,Illinois,accepted term,"Village of Algonquin, IL -- Note added 7/1/14 18:55",http://algonquin.org/,6/6/13 18:08
allamuchynj.org,,Local Government,New Jersey,accepted term,"Village of Allamuchy, NJ -- Note added 6/30/14 11:42",http://allamuchynj.org/,7/24/13 18:59
alleghenytownship.net,,Local Government,Pennsylvania,accepted term,"Allegheny Township, Westmoreland County, PA -- Note added 9/23/15 12:55",http://alleghenytownship.net/,9/23/15 12:55
allenhurstnj.org,,Local Government,New Jersey,accepted term,"Borough of Allenhurst, NJ -- Note added 6/30/14 16:14",http://allenhurstnj.org/content/125/default.aspx,6/6/13 18:08
allentownship.org,,Local Government,Pennsylvania,accepted term,"Allen Township, PA -- Note added 6/30/14 15:47",http://allentownship.org/,6/6/13 18:08
almacity.com,,Local Government,Nebraska,accepted term,"City of Alma, NE -- Note added 12/6/13 18:48",http://www.almacity.com/,6/6/13 18:08
almawisconsin.com,,Local Government,Wisconsin,accepted term,"City of Alma, WI -- Note added 7/25/14 5:06",http://almawisconsin.com/,6/6/13 18:08
alpharetta.ga.us,,Local Government,Georgia,accepted term,"Alpharetta, GA -- Note added 8/25/15 14:03",http://www.alpharetta.ga.us/,6/6/13 18:08
alpinecity.org,,Local Government,Utah,accepted term,"City of Alpine, UT -- Note added 8/19/14 4:58",http://www.alpinecity.org/,6/6/13 18:08
alpinetwp.org,,Local Government,Michigan,accepted term,"alpine township, mi -- Note added 9/2/15 19:56",http://alpinetwp.org/,6/6/13 18:08
alsteadnh.org,,Local Government,New Hampshire,accepted term,"alstead, nh -- Note added 8/28/15 18:35",http://www.alsteadnh.org/,6/6/13 18:08
altamonte.org,,Local Government,Florida,accepted term,"City of Altamonte Springs, FL -- Note added 2/25/15 15:22",http://altamonte.org/,6/6/13 18:08
altamontil.net,,Local Government,Illinois,accepted term,"City of Altamont, IL -- Note added 7/1/14 18:55",http://altamontil.net/,6/6/13 18:08
altamontvillage.org,,Local Government,New York,accepted term,"Village of Altamont, NY -- Note added 6/8/15 12:05",http://altamontvillage.org/Pages/index,6/6/13 18:08
alton-il.com,,Local Government,Illinois,accepted term,"City of Alton, IL -- Note added 7/1/14 19:14",http://www.alton-il.com/,6/6/13 18:08
altoona-iowa.com,,Local Government,Iowa,accepted term,"Altoona, Ia -- Note added 8/25/15 19:56",http://www.altoona-iowa.com/,6/6/13 18:08
alvaok.org,,Local Government,Oklahoma,accepted term,"alva, ok -- Note added 8/28/15 16:27",http://alvaok.org/,6/6/13 18:08
amador-city.com/government,,Local Government,California,accepted term,Amador City website -- Note added 3/10/15 16:31,http://www.amador-city.com/amador-city-government.html,6/6/13 18:08
amadorcity.net,,Local Government,California,accepted term,"Amador City, CA -- Note added 3/3/15 13:11",http://www.amador-city.com/,3/3/15 13:10
ambridgeboro.org,,Local Government,Pennsylvania,accepted term,"Borough of Ambridge, PA -- Note added 6/30/14 15:48",http://www.ambridgeboro.org/,6/6/13 18:08
amerywisconsin.org,,Local Government,Wisconsin,accepted term,"City of Amery, WI -- Note added 11/20/13 16:12",http://amerywisconsin.org/,6/6/13 18:08
amherst.ny.us,,Local Government,New York,accepted term,"Town of Amherst, NY -- Note added 5/27/15 18:42",http://www.amherst.ny.us/,6/6/13 18:08
amityville.com,,Local Government,New York,accepted term,"Village of Amityville, Long Island, NY -- Note added 6/8/15 12:05",http://amityville.com/,6/6/13 18:08
anaheim.net,,Local Government,California,accepted term,City of Anaheim website -- Note added 3/3/15 19:03,http://anaheim.net/,6/6/13 18:08
anc1c.org,,Local Government,District of Columbia,accepted term,DC Advisory Neighborhood Commission 1C -- Note added 6/7/13 17:33,#N/A,6/6/13 18:08
anc2e.com,,Local Government,District of Columbia,accepted term,DC Advisory Neighborhood Commission 2E -- Note added 6/7/13 17:34,#N/A,6/6/13 18:08
anc2f.org,,Local Government,District of Columbia,accepted term,DC Advisory Neighborhood Commission 2F -- Note added 6/7/13 17:34,#N/A,6/6/13 18:08
anc3e.org,,Local Government,District of Columbia,accepted term,DC Advisory Neighborhood Commission 3E -- Note added 6/7/13 17:35,#N/A,6/6/13 18:08
anderson.govoffice.com,,Local Government,Alaska,accepted term,"City of Anderson, AK -- Note added 6/7/13 12:39",http://www.anderson.govoffice.com/,6/6/13 18:09
andersontownship.org,,Local Government,Ohio,accepted term,"Anderson Township, OH -- Note added 3/10/14 15:11",http://www.andersontownship.org/,6/6/13 18:08
andover.nh.us,,Local Government,New Hampshire,accepted term,"Town of Andover, NH -- Note added 7/23/13 19:47",http://andover.nh.us/,6/6/13 18:08
andoverct.org,,Local Government,Connecticut,accepted term,"Town of Andover, CT -- Note added 12/15/14 6:13",http://andoverct.org/,6/6/13 18:08
andoverks.com,,Local Government,Kansas,accepted term,"City of Andover, KS -- Note added 6/6/13 18:08",http://andoverks.com/,6/6/13 18:08
andovertwp.org,,Local Government,New Jersey,accepted term,"Andover Township, NJ (Incorporated 1864; Sussex County) -- Note added 6/30/14 16:15",http://andovertwp.org/,6/6/13 18:08
angier.org,,Local Government,North Carolina,accepted term,"angier, nc -- Note added 9/11/15 17:12",http://angier.org/,6/6/13 18:08
angleton.tx.us,,Local Government,Texas,accepted term,"Angleton, TX -- Note added 3/3/15 6:35",http://angleton.tx.us/,6/6/13 18:08
angolain.org,,Local Government,Indiana,accepted term,"Angola, In -- Note added 8/27/15 14:12",http://angolain.org/,6/6/13 18:08
annetta.org,,Local Government,Texas,accepted term,"Town of Anetta, TX -- Note added 3/3/15 6:35",http://annetta.org/,6/6/13 18:08
anra.org,,Local Government,Texas,accepted term,"Angelina & Neches River Authority, TX -- Note added 3/3/15 6:36",http://www.anra.org/,6/6/13 18:08
antigo-city.org,,Local Government,Wisconsin,accepted term,"City of Antigo, WI -- Note added 4/1/14 13:08",http://www.antigo-city.org/,6/6/13 18:08
antrimnh.org,,Local Government,New Hampshire,accepted term,"antrim, nh -- Note added 8/28/15 18:35",http://antrimnh.org/Pages/index,6/6/13 18:08
apexnc.org,,Local Government,North Carolina,accepted term,"apex, nc -- Note added 9/11/15 17:10",http://apexnc.org/,6/6/13 18:08
aplingtonia.com,,Local Government,Iowa,accepted term,"Applington, IA -- Note added 8/25/15 19:56",http://aplingtonia.com/,6/6/13 18:08
apollopa.org,,Local Government,Pennsylvania,accepted term,"Borough of Apollo, PA -- Note added 6/30/14 20:40",http://apollopa.org,6/6/13 18:08
apopka.net,,Local Government,Florida,accepted term,City of Apoka -- Note added 6/15/15 19:34,http://apopka.net/,6/6/13 18:08
appleton.org,,Local Government,Wisconsin,accepted term,"City of Appleton, WI -- Note added 7/25/14 5:07",http://appleton.org/,6/6/13 18:08
applevalley.org,,Local Government,California,accepted term,City of Apple Valley website -- Note added 3/10/15 16:38,http://applevalley.org/Index.aspx?page=1,6/6/13 18:08
arabcity.org,,Local Government,Alabama,accepted term,"City of Arab, AL -- Note added 6/12/13 17:15",http://arabcity.org/,6/6/13 18:08
arcadialakes.net,,Local Government,South Carolina,accepted term,"arcadia lakes, sc -- Note added 8/28/15 13:17",http://www.arcadialakes.net/,6/6/13 18:08
arcadialouisiana.org,,Local Government,Louisiana,accepted term,"Town of Arcadia, La. -- Note added 8/21/15 14:19",http://arcadialouisiana.org/arcadialouisiana/Arcadia_Louisiana.html,6/6/13 18:08
archbold.com,,Local Government,Ohio,accepted term,"Village of Archbold, OH -- Note added 11/20/13 16:13",http://www.archbold.com/,6/6/13 18:08
ardsleyvillage.com,,Local Government,New York,accepted term,"Village of Ardsley, NY -- Note added 6/8/15 12:06",http://www.ardsleyvillage.com/,6/6/13 18:08
argyleny.com,,Local Government,New York,accepted term,"Town of Argyle, NY -- Note added 6/8/15 12:07",http://argyleny.com/,6/6/13 18:08
argyletx.com,,Local Government,Texas,accepted term,"Town of Argyle, TX -- Note added 7/25/13 14:58",http://www.argyletx.com/town/Town-of-Argyle.html,6/6/13 18:08
argylewi.org,,Local Government,Wisconsin,accepted term,"Village of Argyle, WI -- Note added 7/25/14 5:10",http://argylewi.org/,6/6/13 18:08
arkcity.org,,Local Government,Kansas,accepted term,"City of Arkansas City, KS -- Note added 6/6/13 18:08",http://arkcity.org/portal/portal.aspx,6/6/13 18:08
arkport.com,,Local Government,New York,accepted term,"Arkport, NY -- Note added 6/7/15 20:17",http://arkport.com/,6/6/13 18:08
arlingtonva.us,,Local Government,Virginia,accepted term,"City of Arlington, Virginia -- Note added 8/30/13 13:07",http://www.arlingtonva.us/,6/6/13 18:08
armstrongtwp.org,,Local Government,Pennsylvania,accepted term,"Armstrong Township, Indiana County, PA -- Note added 9/23/15 12:57",http://armstrongtwp.org/,6/6/13 18:08
arnoldmo.org,,Local Government,Missouri,accepted term,"City of Arnold, MO -- Note added 9/2/15 14:14",http://www.arnoldmo.org/,6/6/13 18:08
arnoldsparkcity.com,,Local Government,Iowa,accepted term,"Arnolds Park, IA -- Note added 8/25/15 19:57",http://arnoldsparkcity.com/,6/6/13 18:08
arrowsic.org,,Local Government,Maine,accepted term,"arrowsic, me -- Note added 8/27/15 17:56",http://arrowsic.org/,6/6/13 18:08
arroyogrande.org,,Local Government,California,accepted term,City of Arroyo Grande website -- Note added 3/10/15 16:50,http://www.arroyogrande.org/,6/6/13 18:08
artesiansd.com,,Local Government,South Dakota,accepted term,"Town of Artesian, SD -- Note added 2/26/14 19:08",http://artesiansd.com/,6/6/13 18:08
arundelmaine.org,,Local Government,Maine,accepted term,"Town of Arundel, ME -- Note added 11/20/13 16:21",http://www.arundelmaine.org/,6/6/13 18:08
arvin.org,,Local Government,California,accepted term,City of Arvin website -- Note added 3/10/15 16:52,http://www.arvin.org/,6/6/13 18:08
asharoken.com,,Local Government,New York,accepted term,"Village of Asharoken, NY -- Note added 6/8/15 12:07",http://asharoken.com/,6/6/13 18:08
ashfordtownhall.org,,Local Government,Connecticut,accepted term,"Town of Ashford, CT -- Note added 12/15/14 6:14",http://ashfordtownhall.org/,6/6/13 18:08
ashgrovemo.org,,Local Government,Missouri,accepted term,"City of Ash Grove, MO -- Note added 9/2/15 14:21",http://www.ashgrovemo.gov/,6/6/13 18:08
ashland-ohio.com,,Local Government,Ohio,accepted term,"City of Ashland, OH -- Note added 3/10/14 15:25",http://www.ashland-ohio.com,6/6/13 18:08
ashland.ms,,Local Government,Mississippi,accepted term,"Town of Ashland, MS -- Note added 7/8/14 13:04",http://ashland.ms/,6/6/13 18:08
ashland.or.us,,Local Government,Oregon,accepted term,"City of Ashland, OR -- Note added 6/12/14 12:36",http://ashland.or.us/,6/6/13 18:08
ashlandmass.com,,Local Government,Massachusetts,accepted term,"Ashland, Ma -- Note added 8/26/15 15:35",http://www.ashlandmass.com/,6/6/13 18:08
ashlandmo.us,,Local Government,Missouri,accepted term,"City of Ash Land, MO -- Note added 9/2/15 14:32",http://ashlandmo.us/,6/6/13 18:08
ashley-nd.com,,Local Government,North Dakota,accepted term,"City of Ashley, ND -- Note added 7/18/13 12:51",http://ashley-nd.com/,6/6/13 18:08
ashtownship.org,,Local Government,Michigan,accepted term,"ash township, mi -- Note added 9/2/15 19:57",http://ashtownship.org/,6/6/13 18:08
ashwaubenon.com,,Local Government,Wisconsin,accepted term,"Village of Ashwaubenon, WI -- Note added 4/1/14 14:06",http://www.ashwaubenon.com/,6/6/13 18:08
aspinwallpa.com,,Local Government,Pennsylvania,accepted term,"Aspinwall Borough, PA -- Note added 12/6/13 14:09",http://www.aspinwallpa.com/default.aspx,6/6/13 18:08
astontownship.net,,Local Government,Pennsylvania,accepted term,"Aston Township, PA -- Note added 6/30/14 20:47",http://astontownship.net/,6/6/13 18:08
astoria.or.us,,Local Government,Oregon,accepted term,"City of Astoria, OR -- Note added 6/12/14 12:37",http://astoria.or.us/,6/6/13 18:08
atascadero.org,,Local Government,California,accepted term,City of Atascadero website -- Note added 3/10/15 16:58,http://atascadero.org/,6/6/13 18:08
atglen.org,,Local Government,Pennsylvania,accepted term,"Borough of Atglen, PA -- Note added 6/30/14 20:50",http://atglen.org/,6/6/13 18:08
athensal.us,,Local Government,Alabama,accepted term,"City of Athens, AL -- Note added 6/12/13 17:17",http://athensal.us/,6/6/13 18:08
athenstownship.com,,Local Government,Minnesota,accepted term,"Athens Township, MN -- Note added 3/20/14 17:18",http://athenstownship.com/,6/6/13 18:08
athenswis.com,,Local Government,Wisconsin,accepted term,"Village of Athens, WI -- Note added 7/25/14 5:09",http://www.athenswis.com/,6/6/13 18:08
atlanticbeach-nc.com,,Local Government,North Carolina,accepted term,"atlantic beach, nc -- Note added 9/11/15 17:13",http://atlanticbeach-nc.com/,6/6/13 18:08
atlastownship.org,,Local Government,Michigan,accepted term,"atlas township, mi -- Note added 9/2/15 19:57",http://atlastownship.org/,6/6/13 18:08
attica.org,,Local Government,New York,accepted term,"Village of Attica, NY -- Note added 5/27/15 18:46",http://www.attica.org/,6/6/13 18:08
atwater.org,,Local Government,California,accepted term,City of Atwater website -- Note added 3/10/15 17:00,http://atwater.org/,6/6/13 18:08
auburnalabama.org,,Local Government,Alabama,accepted term,"City of Auburn, AL -- Note added 6/12/13 17:20",http://auburnalabama.org/,6/6/13 18:08
auburnhills.org,,Local Government,Michigan,accepted term,"auburn hills, mi -- Note added 9/2/15 19:57",http://auburnhills.org/,6/6/13 18:08
auburnnh.us,,Local Government,New Hampshire,accepted term,"auburn, nh -- Note added 8/28/15 18:36",http://www.auburnnh.us/,6/6/13 18:08
aumsville.us,,Local Government,Oregon,accepted term,"City of Aumsville, OR -- Note added 6/20/14 9:31",http://aumsville.us/,6/6/13 18:08
aurora-cityhall.org,,Local Government,Missouri,accepted term,"City of Aurora, MO -- Note added 9/2/15 14:41",http://aurora-cityhall.org/,6/6/13 18:08
aurora-il.org,,Local Government,Illinois,accepted term,"City of Aurora, IL -- Note added 11/20/13 16:47",http://aurora-il.org/,6/6/13 18:08
auroranewyork.us,,Local Government,New York,accepted term,"Village of Aurora, NY -- Note added 6/8/15 12:08",http://auroranewyork.us/,6/6/13 18:08
auroraoh.com,,Local Government,Ohio,accepted term,"Aurora, OH -- Note added 6/6/13 18:08",http://auroraoh.com/,6/6/13 18:08
ausabletownship.net,,Local Government,Michigan,accepted term,"ausable township, mi -- Note added 9/2/15 19:58",http://ausabletownship.net/,6/6/13 18:08
austerlitzny.com,,Local Government,New York,accepted term,"Town of Austerlitz, NY -- Note added 6/8/15 12:08",http://austerlitzny.com/,6/6/13 18:08
austintowntwp.com,,Local Government,Ohio,accepted term,"Austintown Township, OH -- Note added 3/10/14 16:14",http://austintowntwp.com/,6/6/13 18:08
auxvassemo.com,,Local Government,Missouri,accepted term,"City of Auxvasse, MO. -- Note added 9/2/15 15:03",http://www.auxvassemo.com/Pages/default.aspx,6/6/13 18:08
avamissouri.org,,Local Government,Missouri,accepted term,"City of Ava, MO. -- Note added 9/2/15 15:28",http://avamissouri.org/,6/6/13 18:08
avon-ny.org,,Local Government,New York,accepted term,"Community of Avon, NY -- Note added 6/8/15 12:09",http://avon-ny.org/,6/6/13 18:08
avon.org,,Local Government,Colorado,accepted term,"Town of Avon, CO -- Note added 6/6/13 18:08",http://avon.org/,6/6/13 18:08
avondale.org,,Local Government,Arizona,accepted term,"City of Avondale, AZ -- Note added 11/18/13 15:47",http://avondale.org/,6/6/13 18:09
avondaleboro.net,,Local Government,Pennsylvania,accepted term,"Borough of Avondale, PA -- Note added 6/30/14 20:51",http://avondaleboro.net/,6/6/13 18:08
avondaleestates.org,,Local Government,Georgia,accepted term,"City of Avondale Estates, Ga -- Note added 8/25/15 14:05",http://avondaleestates.org/,6/6/13 18:08
avongov.org,,Local Government,Indiana,accepted term,"Avon, In -- Note added 8/27/15 14:12",http://avongov.org/,6/6/13 18:08
avonlake.org,,Local Government,Ohio,accepted term,"City of Avon Lake, OH -- Note added 3/10/14 16:17",http://www.avonlake.org/,6/6/13 18:08
avonmass.org,,Local Government,Massachusetts,accepted term,"Town of Avon, MA -- Note added 8/26/15 15:35",http://www.avon-ma.gov/,6/6/13 18:08
avonpark.cc,,Local Government,Florida,accepted term,"City of Avon Park, FL -- Note added 6/15/15 19:38",http://avonpark.cc/,6/6/13 18:08
avontownship.org,,Local Government,Minnesota,accepted term,"Avon Township, MN -- Note added 3/11/15 15:23",http://avontownship.org/,6/6/13 18:08
awendawsc.org,,Local Government,South Carolina,accepted term,"awendaw, sc -- Note added 8/28/15 13:18",http://awendawsc.org/,6/6/13 18:08
ayden.com,,Local Government,North Carolina,accepted term,"ayden, nc -- Note added 9/11/15 17:53",http://www.ayden.com/,6/6/13 18:08
babbitt-mn.com,,Local Government,Minnesota,accepted term,"City of Babbitt, MN -- Note added 3/11/15 15:26",http://www.babbitt-mn.com/,6/6/13 18:08
backusmn.com,,Local Government,Minnesota,accepted term,"City of Backus, MN -- Note added 3/11/15 15:28",http://backusmn.com/,6/6/13 18:08
badin.org,,Local Government,North Carolina,accepted term,"badin, nc n  -- Note added 9/11/15 17:53",http://badin.org/,6/6/13 18:08
bainbridgecity.com,,Local Government,Georgia,accepted term,"City of Bainbridge, GA -- Note added 8/25/15 14:05",http://bainbridgecity.com/,6/6/13 18:08
bainbridgeny.org,,Local Government,New York,accepted term,"Community of Bainbridge, NY -- Note added 6/8/15 12:09",http://bainbridgeny.org/,6/6/13 18:08
bainbridgetwp.com,,Local Government,Ohio,accepted term,"Bainbridge Township, Chagrin Falls, OH -- Note added 12/5/13 14:35",http://bainbridgetwp.com/,6/6/13 18:08
bakercity.com,,Local Government,Oregon,accepted term,"City of Baker City, OR -- Note added 6/20/14 9:31",http://bakercity.com/,6/6/13 18:08
bakercountyfl.org,,Local Government,Florida,accepted term,"The City of Baker County, FL NOTE:  This is currently a test site -- Note added 6/15/15 19:40",http://208.75.175.18/testsite/,6/6/13 18:08
bakersfieldcity.us,,Local Government,California,accepted term,City of Bakersfield  website -- Note added 3/10/15 17:10,http://www.bakersfieldcity.us/,6/6/13 18:08
ballardsvillefire.com,,Local Government,Kentucky,accepted term,"City of Crestwood, KY",https://ballardsvillefire.com/,3/23/22 17:38
baldwinborough.org,,Local Government,Pennsylvania,accepted term,"Baldwin Borough, PA -- Note added 6/28/13 17:10",http://baldwinborough.org/,6/6/13 18:08
baldwincity.org,,Local Government,Kansas,accepted term,"City of Baldwin City, KS -- Note added 6/30/14 6:22",http://www.baldwincity.org/,6/6/13 18:08
baldwinpark.com,,Local Government,California,accepted term,City of Baldwin Park website -- Note added 3/10/15 17:14,http://baldwinpark.com,6/6/13 18:08
baldwinsville.org,,Local Government,New York,accepted term,"Village of Baldwinsville, NY -- Note added 11/10/15 12:17",http://www.baldwinsville.org/,6/6/13 18:08
baldwintownship.com,,Local Government,Pennsylvania,accepted term,"Township of Baldwin, PA -- Note added 7/1/14 12:46",http://baldwintownship.com/,6/6/13 18:08
baldwintownship.govoffice.com,,Local Government,Minnesota,accepted term,"Baldwin Township, MN -- Note added 7/19/13 12:59",http://www.baldwintownship.govoffice.com/,6/6/13 18:09
baldwintownship.net,,Local Government,Michigan,accepted term,"Baldwin Township, MI -- Note added 7/19/13 12:58",http://baldwintownship.net/,7/19/13 12:58
balharbourgov.com,,Local Government,Florida,accepted term,"Bal Harbour, FL -- Note added 6/16/15 14:03",http://www.balharbourgov.com/,6/6/13 18:08
balkantownship.com,,Local Government,Minnesota,accepted term,"Town of Balkan, Balkan Township  -- Note added 3/24/15 1:22",http://www.balkantownship.com/,6/6/13 18:08
ballville.org,,Local Government,Ohio,accepted term,"Ballville Township, Fremont, OH -- Note added 3/10/14 16:21",http://ballville.org/,6/6/13 18:08
ballwin.mo.us,,Local Government,Missouri,accepted term,"City of Ballwin, MO. -- Note added 9/4/15 12:31",http://www.ballwin.mo.us/,6/6/13 18:08
baltic.govoffice.com,,Local Government,South Dakota,accepted term,"City of Baltic, SD -- Note added 7/19/13 13:00",http://www.baltic.govoffice.com/,6/6/13 18:09
baltimoreohio.org,,Local Government,Ohio,accepted term,"Village of Baltimore, OH -- Note added 3/10/14 16:24",http://baltimoreohio.org/,6/6/13 18:08
baltometro.org,,Local Government,Maryland,accepted term,Baltimore Metropolitan Council -- Note added 4/29/14 14:30,http://www.baltometro.org/,6/6/13 18:08
bambergsc.com,,Local Government,South Carolina,accepted term,"bamberg, sc -- Note added 8/28/15 13:18",http://bambergsc.com/,6/6/13 18:08
