Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
avalonboro.org,,County Government,New Jersey,accepted term,"Avalon Borough, NJ (Cape May County) -- Note added 6/30/14 11:57",http://avalonboro.net/,6/6/13 18:08
avonbytheseanj.com,,County Government,New Jersey,accepted term,"Avon Borough (Avon by the Sea, NJ -Monmouth County) -- Note added 6/30/14 12:00",http://www.avonbytheseanj.com/,6/6/13 18:08
bakercounty.org,,County Government,Oregon,accepted term,"Baker County, OR -- Note added 6/12/14 14:13",http://www.bakercounty.org,6/6/13 18:08
baldwincountyga.com,,County Government,Georgia,accepted term,"Baldwin County, Ga -- Note added 8/25/15 14:07",http://www.baldwincountyga.com/,6/6/13 18:08
banderacounty.org,,County Government,Texas,accepted term,"Bandera County, TX -- Note added 3/3/15 6:38",http://banderacounty.org/,6/6/13 18:08
baragacounty.org,,County Government,Michigan,accepted term,"baraga county, mi -- Note added 9/2/15 19:58",http://www.baragacounty.org/,6/6/13 18:08
barnesvillemd.org,,County Government,Maryland,accepted term,"Barnesville is located in Montgomery County, MD -- Note added 5/2/14 19:51",http://www.barnesvillemd.org,6/6/13 18:08
barnstablecounty.org,,County Government,Massachusetts,accepted term,"Barnstable County, MA -- Note added 8/26/15 15:36",http://www.barnstablecounty.org/,6/6/13 18:08
barringtonboro.com,,County Government,New Jersey,accepted term,"Barrington, NJ (now Camden County- established 1700s in Gloucester County)  Incorporated as a borough in 1917. -- Note added 6/30/14 12:06",http://barringtonboro.com/,6/6/13 18:08
barrycounty.org,,County Government,Michigan,accepted term,"barry county, mi -- Note added 9/2/15 19:59",http://www.barrycounty.org/,6/6/13 18:08
bartholomewco.com,,County Government,Indiana,accepted term,"Bartholomew, In -- Note added 8/27/15 14:13",http://www.bartholomew.in.gov/courts.html,6/6/13 18:08
bartoncounty.org,,County Government,Kansas,accepted term,"Barton County, KS -- Note added 11/20/13 16:52",http://www.bartoncounty.org/,6/6/13 18:08
bartowga.org,,County Government,Georgia,accepted term,"Bartow County, Ga -- Note added 8/25/15 14:08",http://bartowga.org/,6/6/13 18:08
bassriver-nj.org,,County Government,New Jersey,accepted term,"Bass River, NJ (Burlington County)  -- Note added 6/30/14 12:08",http://www.bassriver-nj.org/,6/6/13 18:08
