Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
afnpacific.net,Department of Defense (DOD),,,Federal,,,American Forces Network Pacific. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:18,http://afnpacific.net/,5/8/15 14:17
afognak.org,,,,Native Sovereign Nation / Tribal,,Alaska,"Native Village of Afognak, Kodiak, AK -- Note added 6/12/13 15:46",http://afognak.org/,6/6/13 18:08
afpmb.org,Department of Defense (DOD),,,Federal,,,Armed Forces Pest Management Board is a Directorate in the Office of the Deputy Under Secretary of Defense for Installations and Environment (DUSD(I&E)). -- Note added 6/14/13 18:13,#N/A,6/6/13 18:08
afreserve.com,Department of the Air Force,,,Federal,,,US Air Force Reserve recruiting site -- Note added 6/6/13 18:08,https://afreserve.com/,6/6/13 18:08
afthunderbirds.com,Department of the Air Force,,,Federal,,,Air Force Thunderbirds -- Note added 9/12/14 11:40,http://afthunderbirds.com/,9/12/14 11:40
aftoniowa.com,,,,Local,,Iowa,"City of Afton, IA -- Note added 7/21/15 12:31",http://www.aftoniowa.com/,6/6/13 18:08
ag.umass.edu,,,,State,,Massachusetts,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,http://ag.umass.edu/,6/6/13 18:09
agfirst.com,Farm Credit Administration,,,Federal,,,"AgFirst Farm Credit Bank is part of the national Farm Credit System, the largest agricultural lending organization in the United States -- Note added 7/19/13 13:35",http://agfirst.com/index.asp,6/6/13 18:08
agnic.org,,,,Quasigovernmental,,,"Agriculture Network Information Collaborative (AgNIC), a voluntary alliance of institutions working to offer quick and reliable access to quality agricultural information and sources -- Note added 8/20/13 12:17",#N/A,8/20/13 12:16
agribank.com,Farm Credit Administration,,,Federal,,,"Under the Farm Credit System's cooperative structure, AgriBank is owned by 17 affiliated Farm Credit Associations. The AgriBank District covers America's Midwest, a fifteen state area from Wyoming to Ohio and Minnesota to Arkansas. -- Note added 6/17/13 15:03",#N/A,6/6/13 18:08
agrilifeextension.tamu.edu,,,,State,,Texas,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,http://agrilifeextension.tamu.edu/,6/6/13 18:08
ahfa.com,,,,State,,Alabama,Alabama Housing Finance Authority -- Note added 6/12/13 16:40,http://www.ahfa.com/,6/6/13 18:08
ahfc.us,,,,State,,Alaska,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,http://www.ahfc.us/,6/6/13 18:08
ahnj.com,,,,Local,,New Jersey,"Borough of Atlantic Highlands, NJ -- Note added 6/30/14 11:38",http://ahnj.com/ahnj/,6/6/13 18:08
aidea.org,,,,State,,Alaska,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,http://www.aidea.org/,6/6/13 18:08
