Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
1-800-vermont.com,,State Government,Vermont,accepted term,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,http://1-800-vermont.com/,6/6/13 19:11
1800arkansas.com,#N/A,State Government,,accepted term,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,#N/A,1/24/14 14:37
211.getcare.com,,State Government,Virginia,accepted term,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14",https://211.getcare.com/211provider/consumer/index211.do,5/27/14 14:12
211virginia.org,,State Government,Virginia,accepted term,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17",http://211virginia.org,1/10/14 19:17
4thjudicialda.com,,State Government,Colorado,accepted term,4th Judicial District Attorney -- Note added 1/10/14 19:17,http://4thjudicialda.com/start.aspx,1/10/14 19:17
511ny.org,,State Government,New York,accepted term,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34",http://511ny.org/,1/24/14 14:33
accessidaho.org,,State Government,Idaho,accepted term,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,http://www.accessidaho.org/,6/6/13 18:08
aces.edu,,State Government,Alabama,accepted term,Alabama Cooperative Extension System -- Note added 6/12/13 16:37,http://www.aces.edu/main/,6/6/13 18:08
aces.nmsu.edu/pubs,,State Government,New Mexico,accepted term,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,#N/A,6/6/13 18:08
adoptpakids.org,,State Government,Pennsylvania,accepted term,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,http://www.adoptpakids.org/,6/6/13 18:08
adph.org,,State Government,Alabama,accepted term,Alabama Department of Public Health -- Note added 6/12/13 16:40,http://adph.org/,6/6/13 18:08
ag.umass.edu,,State Government,Massachusetts,accepted term,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,http://ag.umass.edu/,6/6/13 18:09
agrilifeextension.tamu.edu,,State Government,Texas,accepted term,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,http://agrilifeextension.tamu.edu/,6/6/13 18:08
ahfa.com,,State Government,Alabama,accepted term,Alabama Housing Finance Authority -- Note added 6/12/13 16:40,http://www.ahfa.com/,6/6/13 18:08
ahfc.us,,State Government,Alaska,accepted term,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,http://www.ahfc.us/,6/6/13 18:08
aidea.org,,State Government,Alaska,accepted term,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,http://www.aidea.org/,6/6/13 18:08
ak-prepared.com,,State Government,Alaska,accepted term,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,http://ak-prepared.com/,6/6/13 18:08
akaerospace.com,,State Government,Alaska,accepted term,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,http://akaerospace.com/index.html,6/6/13 18:08
akenergyauthority.org,,State Government,Alaska,accepted term,Alaska Energy Authority -- Note added 6/6/13 18:08,http://www.akenergyauthority.org/,6/6/13 18:08
akpb.org,,State Government,Alaska,accepted term,Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08,http://akpb.org/,6/6/13 17:52
akrr.com,#N/A,State Government,Alaska,accepted term,Alaska Railroad Corporation -- Note added 6/6/13 18:08,#N/A,6/6/13 18:08
alabama.travel,,State Government,Alabama,accepted term,Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22,http://alabama.travel/,6/6/13 19:21
alabamacounterdrug.com,,State Government,Alabama,accepted term,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41,http://www.alabamacounterdrug.com/,1/23/14 13:40
alabamafilm.org,,State Government,Alabama,accepted term,Alabama Film Office -- Note added 6/12/13 16:42,http://alabamafilm.org/2010/index2.shtml,6/6/13 18:08
alalinc.net,,State Government,Alabama,accepted term,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43",#N/A,6/7/13 12:00
alaskarailroad.com,,State Government,Alaska,accepted term,Alaska Railroad Corporation -- Note added 7/2/13 17:55,http://www.alaskarailroad.com/,6/6/13 18:08
alaskaseafood.org,,State Government,Alaska,accepted term,Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08,http://alaskaseafood.org/,6/6/13 18:08
albme.org,,State Government,Alabama,accepted term,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,http://albme.org/,6/6/13 18:08
albop.com,,State Government,Alabama,accepted term,Alabama Board of Pharmacy -- Note added 6/12/13 16:47,http://albop.com/,6/6/13 18:08
alsde.edu,,State Government,Alabama,accepted term,Alabama State Department of Education -- Note added 6/12/13 17:15,http://www.alsde.edu/Pages/home.aspx,6/6/13 18:08
americansamoa.travel,,State Government,American Samoa,accepted term,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22,http://www.americansamoa.travel/,6/6/13 19:11
amtrakcascades.com,,State Government,Washington,accepted term,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40",http://amtrakcascades.com/,7/30/13 13:27
apdcares.org,,State Government,Florida,accepted term,Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33,http://apdcares.org/,6/6/13 18:08
apfc.org,,State Government,Alaska,accepted term,Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08,http://apfc.org/home/Content/home/index.cfm,6/6/13 18:08
apscservices.info,,State Government,Arkansas,accepted term,Arkansas Public Service Commission -- Note added 1/10/14 17:55,http://www.apscservices.info/,1/10/14 17:55
arbenefits.org,,State Government,Arkansas,accepted term,ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration -- Note added 12/10/14 6:24,http://portal.arbenefits.org/Pages/default.aspx,3/20/14 15:13
arfireprotection.org,,State Government,Arkansas,accepted term,Arkansas Fire Protection Licensing Board -- Note added 6/12/13 18:10,http://www.arfireprotection.org/,6/6/13 18:08
arguard.org,,State Government,Arkansas,accepted term,Arkansas National Guard -- Note added 1/23/14 13:42,http://www.arguard.org/,1/23/14 13:42
arizonaguide.com,,State Government,Arizona,accepted term,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16,http://arizonaguide.com/,6/6/13 19:11
