Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
1800goguard.com,,,,Redirected,http://www.1800goguard.com/ redirects to http://www.nationalguard.com/  -- Note added 3/9/15 18:58,,3/9/15 18:58,,
211ri.org,,,,,,,1/27/14 12:49,,
800alabama.com,,,,,,,6/6/13 19:11,,
aberdeeninfo.com,,Local Government,,rejected term,"City of Aberdeen, WA -- Note added 11/10/15 18:31",,11/10/15 18:31,,
abilityone.fed.us,,,,,,,6/10/15 13:08,,
abingtontownship.us,,Local Government,,,,,6/6/13 18:08,,
abovetheinfluence.com,,,,rejected term,Above the Influence -- Note added 12/16/14 19:08,http://abovetheinfluence.com/,6/6/13 18:08,,
absecon-newjersey.org,,Local Government,,rejected term,"City of Absecon, NJ -- Note added 6/27/14 17:11",,6/6/13 18:08,,
accessclarkcounty.com,,County Government,,rejected term,"Clark County, NV -- Note added 7/22/13 16:29",,6/6/13 18:08,,
accessnc.nccommerce.com,,,North Carolina,,,,5/11/17 17:07,,
accessnorthumberland.com,,,,Deprecated,Former borough website. See historical snapshot at: http://web.archive.org/web/20110129052533/http://site.accessnorthumberland.com/  -- Note added 1/14/14 14:27,,1/14/14 14:27,,
accg.org,,County Government,,rejected term,Association County Commissioners of Georgia -- Note added 7/23/13 14:08,,6/6/13 18:08,,
adamstownboro.co.lancaster.pa.us/adamstown_boro,,Local Government,,,,,1/17/14 15:41,,
afcity.com,,Local Government,,,,,7/19/13 18:40,,
afgov.com,,,,rejected term,"Angel Fire Village, NM - Redirects to angelfirenm.gov -- Note added 6/28/13 17:30",,6/6/13 18:08,,
ag.purdue.edu/extension,,,,Redirected,http://www3.ag.purdue.edu/extension/Pages/default.aspx redirects to https://extension.purdue.edu/Pages/default.aspx  -- Note added 7/18/14 18:18,,7/18/14 18:17,,
ag.udel.edu/extension,,,,,,,6/7/13 16:52,,
agclassroom.org,,,,,,,6/25/13 15:37,,
akml.org,,,,rejected term,Alaska Municipal League -- Note added 6/7/13 12:08,,6/6/13 18:08,,
akrrt.org,,,,,,,6/6/13 18:08,,
alabamacounties.org,,County Government,,rejected term,Association of County Commissions of Alabama -- Note added 6/12/13 16:37,,6/6/13 18:08,,
alalm.org,,,,rejected term,Alabama League of Municipalities -- Note added 6/12/13 16:44,,6/6/13 18:08,,
alamance-nc.com,,,North Carolina,,,,6/6/13 18:08,,
alarc.org,,,,rejected term,Alabama Association of Regional Councils -- Note added 6/12/13 16:45,,6/6/13 18:08,,
alaska.net/~arcs,,,,,,,6/6/13 17:52,,
alaskaaging.org,,,,rejected term,Alaska Commission on Aging -- Note added 11/18/13 14:40,,6/6/13 18:08,,
alaskahistoricalsociety.org,,,,rejected term,"Alaska Historical Society, a non-profit, volunteer-based organization -- Note added 6/7/13 12:21",,6/6/13 18:08,,
alaskawhittier.com,,NA,,rejected term,"This is a nonofficial site. The official City of Whittier, Alaska, website is at www.whittieralaska.gov. -- Note added 11/18/13 14:43",,6/6/13 18:08,,
albemarlecommission.org,,,,rejected term,Albemarle Commission -- Note added 7/17/14 14:30,,6/6/13 18:08,,
alcestersd.org,,,,rejected term,Alcester Area Chamber of Commerce -- Note added 6/14/13 18:01,,6/6/13 18:08,,
allamuchy.com,,Local Government,,rejected term,"Township of Allamuchy, NJ -- Note added 7/24/13 18:58",,6/6/13 18:08,,
allendalesc.org,,County Government,,rejected term,"This is a Japanese website. The official Allendale County, SC, website is at http://allendalecounty.com/. See entry at http://govt-urls.usa.gov/tematres/vocab/index.php?tema=179&amp;/allendalecountycom.  -- Note added 11/18/13 14:50",,6/6/13 18:08,,
