Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
allenstown.org,,Local Government,,rejected term,"Allenstown, NH -- Note added 7/19/13 18:42",,6/6/13 18:08,,
amoryms.us,,,,,"According to the Wayback Machine, this website went down sometime after October 11, 2011: https://web.archive.org/web/20111011201511/http://www.amoryms.us/ -- Note added 7/8/14 13:02",,6/6/13 18:08,,
amsamoatourism.com,,,,Deprecated,Former tourism site for American Samoa. See historical snapshot at: http://web.archive.org/web/20140516220429/http://amsamoatourism.com/ -- Note added 3/9/15 19:11,,3/9/15 19:11,,
andovernhus.com,,NA,,rejected term,Japanese site. Official town website is at andover.nh.us -- Note added 7/23/13 19:48,,7/23/13 19:47,,
angelica-ny.com,,,New York,,,,6/6/13 18:08,,
anitaiowa.com,,,,,,,11/9/15 19:09,,
anitaiowa.net,,Local Government,Iowa,Deprecated,Former city website at anitaiowa.com. See historical snapshot at: http://web.archive.org/web/20150205005431/http://anitaiowa.com/city.html  -- Note added 11/9/15 19:10,http://www.anitaiowa.net/,6/6/13 18:08,,
aocweb.org,,,,rejected term,Association of Oregon Counties -- Note added 7/19/13 18:46,,6/6/13 18:08,,
aragriculture.org,,,,,,,10/30/15 16:01,,
arcatacityhall.org,,Local Government,,,,,6/6/13 18:08,,
archbaldborough.org,,,,rejected term,"Borough of Archbald, PA -- Note added 7/22/13 15:27",,6/6/13 18:08,,
arcommunities.org,,,,,,,10/30/15 16:04,,
arcounties.org,,,,rejected term,Association of Arkansas Counties -- Note added 7/8/13 15:55,,6/6/13 18:08,,
arctic.net/~newhalen/IliVillageCouncil,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ardd.org,,,Louisiana,,,,6/6/13 18:08,,
arfamilies.org,,,,,,,10/30/15 16:04,,
arhomeandgarden.org,,,,,,,10/30/15 16:05,,
arizonaarts.org,,,,rejected term,Arizona Commission on the Arts  -- Note added 11/12/13 18:55,,6/6/13 18:08,,
arlingtoncemetery.org,,,,rejected term,Arlington National Cemetary -- Note added 10/7/14 17:33,,10/7/14 17:33,,
armakansas.org,,,Kansas,,,,6/6/13 18:08,,
arml.org,,,,rejected term,Arkansas Municipal League -- Note added 7/17/13 17:12,,6/6/13 18:08,,
armvc.com,,,,rejected term,Arkansas Motor Vehicle Commission -- Note added 12/6/13 13:41,,6/6/13 18:08,,
arnatural.org,,,,,,,10/30/15 16:06,,
artesianm.com,,Local Government,,rejected term,"City of Artesia, NM - Redirects to artesianm.gov -- Note added 6/28/13 17:33",,6/6/13 18:08,,
asbde.org,,State Government,Arkansas,rejected term,Arkansas State Board of Dental Examiners -- Note added 11/18/13 15:46,,6/6/13 18:08,,
asesro.com,,,,rejected term,Domain no longer resolves - American Samoa American Recovery and Reinvestment Act (ARRA) website -- Note added 6/7/13 14:58,,6/7/13 14:56,,
asf.alaska.edu,,,,,,,3/2/19 12:24,,
ashlandcity.net,,Local Government,,rejected term,"Ashland City, TN -- Note added 7/22/13 15:37",,6/6/13 18:08,,
atkinson-me.org,,,,,,,11/9/15 19:13,,
attallacity.com,,Local Government,,,,,6/6/13 18:08,,
auburnillinois.us,,,Illinois,,,,6/6/13 18:08,,
auburnmaine.org,,Local Government,,rejected term,"City of Auburn, ME -- Note added 11/18/13 15:47",,6/6/13 18:08,,
avon-by-the-sea.com,,Local Government,,rejected term,This is an official website. The official town website is at avonbytheseanj.com.  -- Note added 11/10/15 17:52,,6/30/14 16:17,,
azcounties.org,,,,rejected term,Arizona Association of Counties -- Note added 7/8/13 15:56,,6/6/13 18:08,,
azjerome.com,,Local Government,,rejected term,"Town of Jerome, AZ -- Note added 11/12/13 19:08",,6/6/13 18:08,,
azpurchasing.org,,,,,,,6/6/13 18:08,,
azstreambeds.com,,,,rejected term,Arizona Navigable Streams Adjudication Commission -- Note added 11/20/13 16:50,,6/6/13 18:08,,
b-ville.com,,Local Government,,,,,11/10/15 12:18,,
bainbridgega.com,,,Georgia,,,,6/6/13 18:08,,
bakermt.com,,,,rejected term,Baker (Montana) Chamber of Commerce -- Note added 7/22/13 18:08,,6/6/13 18:08,,
barronchamber.com,,,,,,,6/12/13 17:36,,
battlefieldmo.org,,Local Government,,rejected term,Former city website. See historical snapshot at: http://web.archive.org/web/20120104003022/http://www.battlefieldmo.org/  nCity website is now http://battlefieldmo.gov.  -- Note added 9/22/15 17:19,,6/6/13 18:08,,
bayport.govoffice.com,,,,,,,7/25/13 15:00,,
bcag.org,,County Government,,rejected term,Butte County (CA) Association of Governments -- Note added 7/23/13 14:10,,6/6/13 18:08,,
bcoem.org,,,,,,,7/25/13 14:52,,
beadlecounty.org,,County Government,,,,,6/6/13 18:08,,
bedfordny.info,,,New York,,,,6/6/13 18:08,,
belgrademaine.com,,Local Government,,Deprecated,Redirects to http://www.townofbelgrade.com/  -- Note added 12/6/13 16:03,,6/28/13 17:06,,
belknapcounty.org,,County Government,New Hampshire,,,,6/6/13 18:08,,
belzoni.com,,Local Government,,rejected term,"City of Belzoni, MS -- Note added 6/28/13 17:01",,6/6/13 18:08,,
benningtonny.com,,,New York,,,,6/6/13 18:08,,
bereaohio.com,,,,rejected term,Berea (Ohio) Chamber of Commerce -- Note added 7/22/13 18:09,,6/6/13 18:08,,
berkshireny.com,,,,,,,6/28/13 16:57,,
berneny.org,,,New York,,,,6/6/13 18:08,,
bestdishnc.com,,,,Redirected,Redirects to http://www.gottobenc.com/grocery-restaurants/best-dish/  -- Note added 11/19/13 17:16,,6/28/13 16:55,,
bethelct.org,,Local Government,,rejected term,"Town of Bethel, CT - Redirects to bethel-ct.gov -- Note added 6/28/13 16:54",,6/6/13 18:08,,
bethlehem-twp.org,,,,,Bethlehem-twp.org brings up a site on How to Repair Leaky Roofs. -- Note added 7/7/14 19:00,,6/28/13 16:38,,
bethlehemwhitemtns.com,,Local Government,,rejected term,New Hampshire White Mountains Bethlehem Chamber of Commerce. (The town government website is bethlehemnh.org.) -- Note added 6/28/13 18:16,,6/6/13 18:08,,
bicyclenevada.com,,,,Redirected,Redirects to http://www.nevadadot.com/About_NDOT/NDOT_Divisions/Planning/bikeped/bicycle.aspx  -- Note added 12/6/13 16:00,,6/6/13 18:08,,
bigfun.org,,State Government,California,Deprecated,Redirects to CA state fair site. Not a govt site. -- Note added 3/4/15 22:22,,6/6/13 18:08,,
bioenergykdf.net,,Federal Government,,,,,4/18/17 21:04,,
birchwood.govoffice.com,,Local Government,,Deprecated,Redirects to http://www.cityofbirchwood.com/  -- Note added 3/20/14 17:21,,3/20/14 17:21,,
bism.org,,,,rejected term,Blind Industries and Services of Maryland -- Note added 5/27/14 1:10,http://www.bism.org,6/6/13 18:08,,
blackfordcountygov.us,,County Government,,rejected term,Domain no longer resolves. Official county website is blackfordcounty.com -- Note added 7/25/13 14:55,,6/6/13 18:08,,
bladeninfo.net,,,,Redirected,"www.bladeninfo.net redirects to the new site, but bladeninfo.net doen't resolve -- Note added 7/25/13 15:02",,7/25/13 15:01,,
bladeninfo.org,,,,Redirected,Redirects to http://www.bladennc.govoffice3.com/  -- Note added 11/20/13 17:03,,7/25/13 15:01,,
blair.pacounties.org/AlleghenyTwp,,,,,,,6/6/13 18:08,,
blair.pacounties.org/antistwp,,,,,,,6/6/13 18:08,,
bluemoundswi.govoffice2.com,,,,Deprecated,Former village website. See historical snapshot at: http://web.archive.org/web/20131205082111/http://www.bluemoundswi.govoffice2.com/  -- Note added 3/20/14 17:27,,3/20/14 17:26,,
bogota.nj.us,,,,,,,7/25/13 15:53,,
boilingspringsnc.net,,,North Carolina,,,,6/6/13 18:08,,
boonsboromd.govoffice2.com,,,,,,,7/25/13 16:00,,
boonslick.org,,,,rejected term,Boonslick Regional Planning Commission -- Note added 9/22/15 18:58,http://boonslick.org/,6/6/13 18:08,,
boroughofaudubon.com,,,,rejected term,"Borough of Audobon, NJ -- Note added 12/5/13 15:03",,6/6/13 18:08,,
boroughofcoplay.org,,,,rejected term,Japanese website. Official borough website is coplayborough.org -- Note added 7/24/13 13:12,,6/6/13 18:08,,
boroughs.org,,State Government,Pennsylvania,rejected term,Pennsylvania State Association of Boroughs -- Note added 7/23/13 14:11,,6/6/13 18:08,,
boyriver.com,,,,rejected term,"Boy River, MN -- Note added 7/19/13 17:11",,6/6/13 18:08,,
brackenridgeborough.com,,,,rejected term,"Borough of Brackenridge, PA -- Note added 7/24/13 13:29",,6/6/13 18:08,,
bradleyil.org,,,,,,,11/9/15 20:40,,
branfordct.com,,,,rejected term,Branford (CT) Chamber of Commerce -- Note added 7/22/13 18:13,,6/6/13 18:08,,
brantleycounty.org,,County Government,,,,,7/19/13 17:13,,
brawleyhigh.org,,,California,,,,6/6/13 18:08,,
brewerme.org,,Local Government,,rejected term,"City of Brewer, ME -- Note added 8/18/14 17:45",,6/6/13 18:08,,
bristolvt.net,,,,,,,7/25/13 16:04,,
brooklawn.us,,,,Redirected,"brooklawn.us redirects to https://www.brooklawn-nj.com, which has a security error. http://www.brooklawn-nj.com (without the 's') resolves as expected. -- Note added 8/18/14 17:43",,8/18/14 17:41,,
brownington.org,,,,rejected term,"Village of Brownington, MO -- Note added 12/4/13 19:07",,6/6/13 18:08,,
bucksport.biz,,Local Government,,rejected term,"Town of Bucksport, ME -- Note added 7/25/13 16:05",,6/6/13 18:08,,
buenavistatownship.org,,Local Government,,,,,11/10/15 17:10,,
buffalond.com,,Local Government,,rejected term,"City of Buffalo, ND -- Note added 7/18/13 13:00",,6/6/13 18:08,,
bunkerhill.net,,Local Government,,rejected term,"City of Bunker Hill Village, TX -- Note added 11/10/15 17:39",,11/10/15 17:39,,
burlington2.govoffice.com,,Local Government,,rejected term,"City of Burlington, ND -- Note added 7/19/13 12:43",,6/6/13 18:09,,
burtonmi.com,,Local Government,,rejected term,"City of Burton, MI -- Note added 7/25/13 16:13",,6/6/13 18:08,,
butmantownship.com,,Local Government,,rejected term,"Butman Township, MI -- Note added 8/18/14 18:25",,6/6/13 18:08,,
buttscounty.org,,County Government,,Deprecated,Site no longer resolves. See historical snapshot at: http://web.archive.org/web/20130317121050/http://www.buttscounty.org/  -- Note added 11/22/13 15:25,,6/6/13 18:08,,
bytrain.org,,,,Redirected,Redirects to http://www.ncbytrain.org/  -- Note added 12/6/13 16:18,,12/6/13 16:18,,
byways.org,,,,rejected term,"National Scenic Byways, Federal Highway Administration, Department of Transportation -- Note added 12/6/13 13:53",,6/6/13 18:08,,
c-a-tribes.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
caao.org,,County Government,,rejected term,County Auditors' Association of Ohio -- Note added 7/23/13 14:32,,6/6/13 18:08,,
cacities.org,,,,rejected term,League of California Cities -- Note added 7/8/13 18:51,,6/6/13 18:08,,
cacttc.org,,,California,,,,6/6/13 18:08,,
cahe.nmsu.edu/pubs,,,,,,,7/25/13 17:38,,
cahto.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cajonvalley.net,,,California,,,,6/6/13 18:08,,
calaging.org,,,,rejected term,California Commission on Aging -- Note added 7/19/13 17:17,,6/6/13 18:08,,
caledonia.govoffice.com,,,,rejected term,Redirects to caledoniamn.gov so entry no longer needed -- Note added 7/22/13 15:48,,6/6/13 18:09,,
calhouncountymi.org,,County Government,,rejected term,"Calhoun County, MI -- Note added 7/25/13 17:40",,6/6/13 18:08,,
californiahistoricalsociety.org,,,,rejected term,California Historical Society -- Note added 7/26/13 17:44,,6/6/13 18:08,,
call811.com,,,,,,,6/7/13 15:13,,
canandaigua.govoffice.com,,,,rejected term,Redirects to canandaiguanewyork.gov so entry no longer needed -- Note added 7/22/13 15:47,,6/6/13 18:09,,
cantonnewyork.us/government,,,New York,,,,6/6/13 18:08,,
capevincent.org,,,,rejected term,Village's chamber of commerce site. The official village site is http://www.villageofcapevincent.org/.  -- Note added 12/5/13 14:18,,6/6/13 18:08,,
carmelcalifornia.com,,Local Government,California,rejected term,"Unofficial, commercial site. The official city website is at http://ci.carmel.ca.us/.  -- Note added 11/22/13 15:27",,6/6/13 18:08,,
carson.org,,,Nevada,,,,6/6/13 18:08,,
carver.govoffice.com,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120912072342/http://carver.govoffice.com/  -- Note added 3/20/14 17:52,,3/20/14 17:52,,
casdu.com,,State Government,California,rejected term,California State Distribution Unit -- Note added 7/25/13 17:50,,6/6/13 18:08,,
cassvillemo.net,,Local Government,,rejected term,"City of Cassville, MO -- Note added 12/4/13 20:00",,6/6/13 18:08,,
castledalecity.org,,County Government,,Deprecated,Redirects to http://www.emerycounty.com/castledale/castledale.htm  -- Note added 12/6/13 15:28,,6/6/13 18:08,,
castleton-on-hudson.org,,,New York,,,,6/6/13 18:08,,
catawbaindiannation.com,,,,,,,7/25/13 18:25,,
ccao.org,,County Government,,rejected term,County Commissioners' Association of Ohio -- Note added 7/23/13 14:32,,6/6/13 18:08,,
ccionline.org,,,,rejected term,"Colorado Counties, Inc. -- Note added 7/23/13 14:33",,6/6/13 18:08,,
ccthita.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
ccuguam.com,,,,,,,6/7/13 17:48,,
ceao.org,,County Government,,rejected term,County Engineers Association of Ohio -- Note added 7/23/13 19:11,,6/6/13 18:08,,
cedarhilltxgov.org,,,,,,,11/10/15 17:41,,
cels.uri.edu/ce,,,,Redirected,Redirects to http://web.uri.edu/riaes/extension/  -- Note added 12/6/13 16:10,,12/6/13 16:09,,
centennialcolorado.com,,Local Government,,rejected term,"City of Centennial, CO -- Note added 10/30/15 16:21",,10/30/15 16:20,,
centralvtplanning.org,,,,rejected term,Central Vermont Regional Planning Commission -- Note added 7/25/13 18:27,,6/6/13 18:08,,
cfc-nyc.org,,,,Deprecated,Former website for NYC CFC. See historical snapshot at http://web.archive.org/web/20121127144945/http://www.cfc-nyc.org/.  -- Note added 9/26/14 19:02,,9/26/14 19:01,,
cfcatlanta.org,,,,Redirected,Redirects to http://www.cfcaaga.org/_root/  -- Note added 12/6/13 15:10,,12/6/13 15:09,,
cfcgoldcoast.org,,,California,Redirected,This web address redirects to the web address of www.cfcofgreatersocal.org which is nCombined Federal Campaign of Greater Southern CA n  -- Note added 3/9/15 18:00,http://www.cfcofgreatersocal.org,6/6/13 18:08,,
cfcisland.org,,,Washington,,,,6/6/13 18:08,,
chaddsfordpa.net,,Local Government,,rejected term,"Township of Chadd's Ford, PA -- Note added 7/24/13 13:46",,6/6/13 18:08,,
chalfont.govoffice.com,,,,,,,3/20/14 17:57,,
chamberscounty.com,,County Government,,rejected term,Site is for the Chambers County Community and Travel Guide. County government website is at chamberscountyal.gov. -- Note added 6/12/13 17:24,,6/6/13 18:08,,
charlescounty.org,,County Government,,rejected term,"Charles County, MD -- Note added 7/25/13 18:30",,6/6/13 18:08,,
charlottecountyfl.com,,County Government,,rejected term,"Charlotte County, FL -- Note added 7/26/13 17:38",,6/6/13 18:08,,
chehalistribe.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
chenega.com,,,,rejected term,Chenega Corporation -- Note added 12/5/13 14:23,,6/6/13 18:08,,
cherokee.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
cherryhospital.org,,,,rejected term,Resolves at http://www.ncdhhs.gov/dsohf/cherry/  -- Note added 9/22/15 16:43,,7/24/13 16:13,,
chesapeake.va.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110902032008/http://www.chesapeake.va.us/  -- Note added 12/5/13 15:09,,12/5/13 15:08,,
chesterct.com,,,,,,,7/26/13 17:39,,
cheswoldde.com,,Local Government,,rejected term,"Redirects to cheswold.delaware.gov - Town of Cheswold, DE -- Note added 6/7/13 17:02",,6/6/13 18:08,,
cheyennenation.com,,Native Sovereign Nation,,,,,6/6/13 18:08,,
chicagoheights.net,,,,,,,11/9/15 20:42,,
chickalooncommunitycouncil.org,,,,rejected term,Official Chickaloon Village Traditional Council is at www.chickaloon.org -- Note added 6/7/13 12:46,,6/6/13 18:08,,
chignikbay.com,,,,rejected term,"Chignik Bay Tribal Council, Chignik Bay, AK -- Note added 11/22/13 15:22",,6/6/13 18:08,,
childrenssafetynetwork.org,,,,,,,6/17/13 15:43,,
chilkatindianvillage.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
chisholm.govoffice.com,,,,,,,7/26/13 17:41,,
choctawnationflorida.org,,,,rejected term,Choctaw Nation of Florida -- Note added 11/10/15 17:15,,6/6/13 18:08,,
chukchansi.net,,Native Sovereign Nation,,,,,6/6/13 18:08,,
churchillcounty.org,,County Government,Nevada,,,,6/6/13 18:08,,
ci.altavista.va.us,,Local Government,,rejected term,"Town of Altavista, VA -- Note added 7/25/13 18:32",,6/6/13 18:08,,
ci.american-canyon.ca.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120815065010/http://www.ci.american-canyon.ca.us/  -- Note added 12/5/13 15:11,,12/5/13 15:10,,
ci.anadarko.ok.us,,Local Government,,Deprecated,Former city website. See historical snapshot at:  http://web.archive.org/web/20120904232901/http://www.ci.anadarko.ok.us/  -- Note added 12/5/13 15:13,,12/5/13 15:13,,
ci.anchorage.ak.us,,Local Government,,,,,6/6/13 18:08,,
ci.anniston.al.us,,Local Government,,rejected term,"Domain no longer resolves. City of Anniston, AL, website is at http://www.annistonal.gov/. -- Note added 6/12/13 17:29",,6/6/13 18:08,,
ci.arden-hills.mn.us,,Local Government,,,,,7/26/13 18:03,,
ci.atlantic-beach.fl.us,,Local Government,,,,,7/26/13 18:04,,
ci.austin.tx.us,,Local Government,,rejected term,"City of Austin, TX -- Note added 7/25/13 18:33",,6/6/13 18:08,,
ci.baldwin.wi.us,,Local Government,,Deprecated,Former village website. See historical snapshot at:  http://web.archive.org/web/20111003012220/http://www.ci.baldwin.wi.us/  -- Note added 12/5/13 15:16,,12/5/13 15:16,,
ci.barnegat.nj.us,,Local Government,,Deprecated,Former township website. See historical snapshot at: http://web.archive.org/web/20121104232448/http://www.ci.barnegat.nj.us/  -- Note added 12/5/13 15:18,,12/5/13 15:18,,
ci.beloit.wi.us,,Local Government,,rejected term,http://www.ci.beloit.wi.us redirects to http://www.beloitwi.gov/  -- Note added 4/2/14 12:15,,6/6/13 18:08,,
ci.belton.tx.us,,Local Government,,rejected term,"City of Belton, TX -- Note added 7/25/13 18:33",,6/6/13 18:08,,
ci.benbrook.tx.us,,Local Government,,rejected term,"City of Benbrook, TX -- Note added 7/25/13 18:34",,6/6/13 18:08,,
ci.bloomington.mn.us,,Local Government,,rejected term,"City of Bloomington, MN -- Note added 1/2/14 15:35",,1/2/14 15:35,,
ci.brenham.tx.us,,Local Government,,,,,7/26/13 18:05,,
ci.brewster.wa.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20121206140521/http://www.ci.brewster.wa.us/  -- Note added 12/5/13 15:20,,12/5/13 15:19,,
ci.brownsville.tx.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110820090613/http://www.ci.brownsville.tx.us/  -- Note added 12/5/13 15:22,,12/5/13 15:21,,
ci.burbank.ca.us,,Local Government,,rejected term,"City of Burbank, CA -- Note added 12/6/13 13:50",,6/6/13 18:08,,
ci.burlington.vt.us,,Local Government,,rejected term,"City of Burlington, VT -- Note added 7/26/13 18:06",,6/6/13 18:08,,
ci.calistoga.ca.us,,Local Government,California,,,http://ci.calistoga.ca.us/,6/6/13 18:08,,
ci.canby.or.us,,Local Government,Oregon,Now uses .gov domain,"City of Canby, OR -- Note added 6/20/14 9:33",http://ci.canby.or.us/,6/6/13 18:08,,
ci.cannon-falls.mn.us,,Local Government,,rejected term,"City of Cannon Falls, MN -- Note added 7/26/13 18:07",,6/6/13 18:08,,
ci.capitola.ca.us,,Local Government,,,,,7/26/13 18:12,,
ci.carbondale.il.us,,Local Government,,Redirected,Redirects to http://explorecarbondale.com/  -- Note added 12/6/13 15:30,,12/6/13 15:29,,
ci.carnation.wa.us,,Local Government,,rejected term,"City of Carnation, WA -- Note added 7/26/13 18:13",,6/6/13 18:08,,
ci.casa-grande.az.us,,Local Government,,rejected term,"City of Casa Grande, AZ -- Note added 12/11/13 13:57",,6/6/13 18:08,,
ci.ceres.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.clayton.mo.us,,Local Government,,Redirected,Redirects to http://www.claytonmo.gov/ so entry no longer needed. -- Note added 8/26/13 18:20,,6/6/13 18:08,,
ci.colfax.ca.us,,Local Government,,rejected term,"City of Colfax, CA -- Note added 12/5/13 15:23",,6/6/13 18:08,,
ci.commerce-city.co.us,,Local Government,,,,,6/6/13 18:08,,
ci.concord.nc.us,,Local Government,,Redirected,Redirects to http://www.concordnc.gov/ so entry no longer needed -- Note added 8/26/13 18:20,,6/6/13 18:08,,
ci.concord.nh.us,,Local Government,,Redirected,Redirects to http://www.concordnh.gov/ so entry no longer needed -- Note added 8/26/13 18:21,,6/6/13 18:08,,
ci.coppell.tx.us,,Local Government,,rejected term,"City of Coppell, TX -- Note added 12/6/13 13:31",,6/6/13 18:08,,
ci.corsicana.tx.us,,Local Government,,,,,7/26/13 18:21,,
ci.corvallis.or.us,,Local Government,,Redirected,Redirects to http://www.corvallisoregon.gov/ so entry no longer needed -- Note added 8/26/13 18:21,,6/6/13 18:08,,
ci.costa-mesa.ca.us,,Local Government,,Redirected,Redirects to http://www.costamesaca.gov/ so entry no longer needed -- Note added 8/26/13 18:22,,6/6/13 18:08,,
ci.cottonwood.az.us,,Local Government,,Redirected,Redirects to http://cottonwoodaz.gov/ so entry no longer needed -- Note added 8/26/13 18:23,,6/6/13 18:08,,
ci.culver-city.ca.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120120134501/http://www.ci.culver-city.ca.us/  -- Note added 12/5/13 15:32,,12/5/13 15:30,,
ci.dassel.mn.us,,Local Government,,,,,8/26/13 18:25,,
ci.dillingham.ak.us,,Local Government,,,,,6/6/13 18:08,,
ci.dixon.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.donna.lib.tx.us,,Local Government,,,,,11/10/15 17:45,,
ci.duncanville.tx.us,,Local Government,,,,,7/26/13 18:22,,
ci.el-mirage.az.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20121018035004/http://www.ci.el-mirage.az.us/  -- Note added 12/5/13 15:34,,6/6/13 18:08,,
ci.elizabeth-city.nc.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110904031813/http://www.ci.elizabeth-city.nc.us/  -- Note added 12/5/13 15:37,,12/5/13 15:36,,
ci.elko.mn.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110502071916/http://www.ci.elko.mn.us/  -- Note added 12/5/13 18:38,,12/5/13 18:37,,
ci.eloy.az.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20080913204300/http://www.eloyaz.org/index.html  -- Note added 12/5/13 18:45,,12/5/13 18:44,,
ci.enumclaw.wa.us,,Local Government,,,,,8/26/13 18:29,,
ci.epping.nh.us,,Local Government,,Deprecated,Former town website. See historical snapshot at: http://web.archive.org/web/20120121072835/http://www.ci.epping.nh.us/  -- Note added 12/5/13 18:54,,12/5/13 18:54,,
ci.fairview.or.us,,Local Government,,rejected term,"City of Fairview, OR -- Note added 1/15/14 12:23",,6/6/13 18:08,,
ci.farmers-branch.tx.us,,Local Government,,,www resolves at http://farmersbranchtx.gov/ so entry no longer needed -- Note added 8/26/13 18:31,,6/6/13 18:08,,
ci.fond-du-lac.wi.us,,Local Government,,Redirected,Redirects to http://www.fdl.wi.gov/ so entry no longer needed -- Note added 8/26/13 18:45,,6/6/13 18:08,,
ci.fort-bragg.ca.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110921132704/http://ci.fort-bragg.ca.us/  -- Note added 12/5/13 19:01,,12/5/13 18:59,,
ci.ftlaud.fl.us,,Local Government,,rejected term,"City of Fort Lauderdale, FL -- Note added 12/5/13 19:04",,6/6/13 18:08,,
